image_id,side,top_ratio,vertical_span,density,texture_std,green_saturation,green_dominant_ratio,grass_px
1251948130475331,left,0.5776,0.2989,0.1269,39.38,0.3696,0.559,347203
1252150686777338,left,0.9867,0.9417,0.0425,23.06,0.4024,0.9396,116331
1252170753438092,left,0.4792,0.4536,0.1111,26.55,0.4771,0.859,303909
1252569220109405,left,0.5188,0.4822,0.0972,32.6,0.4563,0.7593,266033
1254622929892813,left,0.5623,0.5252,0.0855,23.23,0.32,0.7786,233957
1255776963090427,left,0.4837,0.4437,0.0814,26.35,0.4746,0.829,222648
1257141109652262,left,0.5143,0.3928,0.1221,31.37,0.3617,0.883,334106
1258220162861635,left,0.5553,0.501,0.1593,36.93,0.4,0.7935,436032
1258240266153369,left,0.497,0.455,0.0894,31.81,0.48,0.9344,244572
1258724019440436,left,0.5469,0.5114,0.1342,38.38,0.4487,0.807,367211
1260424166138691,left,0.5568,0.5128,0.1582,41.83,0.4688,0.8174,432865
1260478295928761,left,0.4792,0.4555,0.059,25.42,0.4,0.7056,161535
1260580155924333,left,0.5049,0.4659,0.1225,26.91,0.3871,0.84,335320
1264438365528229,left,0.5148,0.2708,0.0792,34.71,0.3763,0.7505,216792
1265661085533533,left,0.5637,0.5168,0.1596,25.75,0.4265,0.8993,436658
1265727185480661,left,0.5025,0.4723,0.117,18.48,0.5366,0.8736,320066
1265915398924016,left,0.5198,0.2683,0.0216,40.78,0.4237,0.5773,59049
1266553138626222,left,0.499,0.4328,0.0683,24.62,0.3918,0.8511,187019
1268260988451703,left,0.5074,0.4738,0.1085,25.05,0.4865,0.8223,296776
1268436735339865,left,0.5395,0.503,0.1196,34.47,0.4756,0.7722,327392
1268650205153044,left,0.5939,0.5598,0.1774,23.25,0.3333,0.5182,485495
1270325941573008,left,0.543,0.4876,0.0767,26.5,0.6735,0.799,209905
1272552651350152,left,0.4926,0.4921,0.1177,21.32,0.375,0.6362,322024
1272729924903349,left,0.5119,0.4728,0.1542,31.79,0.4795,0.8709,422087
1274967971405795,left,0.4906,0.2342,0.0232,38.48,0.3059,0.6325,63378
1275640474479856,left,0.5035,0.4699,0.1,28.57,0.3303,0.5701,273625
1275673554402108,left,0.4926,0.2426,0.0635,25.24,0.4231,0.9155,173857
1276806547611395,left,0.4921,0.2332,0.0284,37.45,0.2973,0.739,77817
1280282010664893,left,0.5035,0.4629,0.1137,15.5,0.369,0.6832,311071
1281095300510245,left,0.4896,0.458,0.1166,30.65,0.3425,0.7398,319116
1282836660346258,left,0.4684,0.1719,0.0302,40.61,0.3623,0.5091,82668
1284430623510322,left,1.0,0.959,0.1387,28.81,0.4045,0.9118,379533
1284763400156629,left,0.4876,0.4872,0.0562,29.1,0.4737,0.8993,153861
1286677926631886,left,0.496,0.4313,0.1029,23.56,0.5098,0.9063,281663
1287360393227494,left,0.5845,0.5494,0.042,31.16,0.3529,0.5249,114923
1290180402939420,left,0.5188,0.4758,0.0808,23.48,0.5192,0.7985,221120
1295304985740090,left,0.5059,0.4674,0.1118,21.48,0.5319,0.9516,305941
1296463682506048,left,0.5815,0.5534,0.1555,25.19,0.4444,0.7479,425552
1296936985788224,left,0.6428,0.6176,0.1396,31.54,0.4706,0.7348,382054
1298723935611927,left,0.5247,0.4827,0.0823,26.83,0.3069,0.6024,225103
1298764585392635,left,0.4975,0.2322,0.0558,21.83,0.5571,0.9471,152660
1303711208468902,left,0.5025,0.4763,0.1163,22.56,0.4375,0.932,318327
1304218561722729,left,0.5222,0.4911,0.109,26.43,0.3019,0.6387,298156
1310625761093496,left,0.5188,0.4694,0.1388,23.66,0.3956,0.7987,379954
1312507110904636,left,0.5578,0.5232,0.1623,40.8,0.5102,0.8171,444032
1313322467505686,left,0.5494,0.5148,0.1171,27.34,0.5,0.5894,320424
1315745047256063,left,0.497,0.4387,0.0595,35.64,0.4545,0.7786,162723
1326964539282534,left,0.5272,0.5069,0.1291,28.63,0.5625,0.7308,353262
1330147675796788,left,0.4822,0.4412,0.0873,24.96,0.3478,0.8801,238963
1331385155685432,left,0.5084,0.4713,0.0679,31.76,0.3721,0.8544,185785
1332226968671975,left,0.5163,0.4289,0.0722,30.08,0.4143,0.8852,197551
1344027190811206,left,0.5158,0.4368,0.042,42.2,0.3261,0.7156,115039
1346651537266678,left,0.5217,0.4679,0.1285,28.24,0.3857,0.8667,351734
1348856613715419,left,0.5104,0.4575,0.1395,18.46,0.4455,0.9293,381749
1351405243667846,left,0.5608,0.5227,0.1403,35.41,0.475,0.748,383935
1354331273047100,left,0.5227,0.4778,0.1113,21.15,0.4,0.8667,304492
1356778376222342,left,0.4911,0.4541,0.114,19.54,0.3488,0.5663,311927
1362380895687716,left,0.5395,0.4694,0.1398,23.63,0.4194,0.8073,382481
1363804255494057,left,0.4876,0.458,0.1058,18.08,0.3939,0.8799,289564
1365939591942322,left,0.5119,0.502,0.1206,27.24,0.5,0.8324,330087
1366117964995627,left,0.5183,0.4807,0.1046,28.57,0.3778,0.5492,286272
1366164158645005,left,0.541,0.4995,0.1528,29.83,0.4242,0.7823,418232
1366815061403146,left,0.4802,0.2248,0.0654,30.91,0.4098,0.8384,179043
1366920708518570,left,0.5366,0.5183,0.1732,39.45,0.4429,0.7845,474014
1367071494741525,left,0.5618,0.5316,0.094,24.79,0.4915,0.7264,257303
1368112195058464,left,0.5015,0.458,0.0733,21.48,0.3279,0.8905,200603
1369510854923226,left,0.4906,0.4209,0.053,31.84,0.4189,0.6963,145083
1371250244747908,left,0.4822,0.3923,0.0867,24.34,0.4636,0.9256,237250
1372835354318353,left,0.502,0.4422,0.0584,19.51,0.2713,0.9087,159912
1373173760749192,left,0.5208,0.4664,0.0881,24.86,0.3077,0.8012,241142
1373561047416914,left,0.4867,0.457,0.084,23.1,0.6154,0.9339,229749
1374190057815474,left,0.4956,0.4516,0.0304,35.26,0.3372,0.8136,83139
1375120734362290,left,0.5104,0.4792,0.0678,32.57,0.3529,0.837,185469
1375378953784766,left,0.5188,0.4259,0.1247,33.75,0.3645,0.8668,341223
1376265260393286,left,0.5346,0.5153,0.133,41.38,0.5172,0.8507,363828
1376531923737684,left,0.497,0.4531,0.0834,20.95,0.2947,0.6632,228265
1376664543663908,left,0.5316,0.4896,0.1569,25.68,0.4414,0.8463,429240
1376907794187840,left,0.9792,0.9511,0.12,16.35,0.3939,0.8153,328355
1377784457423045,left,0.4733,0.4392,0.0715,31.03,0.4655,0.8268,195772
1377931273645010,left,0.4852,0.4214,0.1088,27.98,0.2759,0.6878,297708
1378993830097559,left,0.582,0.2984,0.0467,19.62,0.6111,0.9703,127696
1379310013971318,left,0.4832,0.459,0.0918,22.52,0.3889,0.9042,251099
1379941620596788,left,0.496,0.4699,0.0855,23.62,0.292,0.823,233981
1380221976610683,left,0.5198,0.3142,0.1445,22.04,0.4468,0.8061,395351
1380751097133066,left,0.5469,0.497,0.1537,34.63,0.4483,0.7764,420578
1381863716757325,left,0.54,0.5025,0.1474,21.71,0.5217,0.9059,403412
